"Espoon väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"049 313 Matinlahti","Muu kieli","Väestö yhteensä",737,868,955,1062,1133,1265,1230,1341
"049 314 Matinkylän keskus","Kaikki äidinkielet","Väestö yhteensä",3086,3108,3100,3213,3614,3617,3644,3609
"049 314 Matinkylän keskus","Suomi ja saame","Väestö yhteensä",2325,2321,2288,2375,2595,2588,2532,2454
"049 314 Matinkylän keskus","Ruotsi","Väestö yhteensä",221,217,212,226,287,277,277,273
"049 314 Matinkylän keskus","Muu kieli","Väestö yhteensä",540,570,600,612,732,752,835,882
"049 315 Nuottaniemi","Kaikki äidinkielet","Väestö yhteensä",1302,1269,1265,1295,1294,1313,1292,1279
"049 315 Nuottaniemi","Suomi ja saame","Väestö yhteensä",987,969,963,992,974,982,955,937
"049 315 Nuottaniemi","Ruotsi","Väestö yhteensä",209,211,223,229,243,248,249,245
"049 315 Nuottaniemi","Muu kieli","Väestö yhteensä",106,89,79,74,77,83,88,97
"049 316 Miessaari","Kaikki äidinkielet","Väestö yhteensä",..,..,..,..,..,..,..,..
"049 316 Miessaari","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"049 316 Miessaari","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"049 316 Miessaari","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"049 32 Olari","Kaikki äidinkielet","Väestö yhteensä",15320,15567,15742,15680,16079,16179,16233,16095
"049 32 Olari","Suomi ja saame","Väestö yhteensä",12565,12629,12655,12551,12731,12687,12529,12354
"049 32 Olari","Ruotsi","Väestö yhteensä",1234,1276,1253,1243,1277,1236,1201,1204
"049 32 Olari","Muu kieli","Väestö yhteensä",1521,1662,1834,1886,2071,2256,2503,2537
"049 321 Friisilä","Kaikki äidinkielet","Väestö yhteensä",2524,2529,2522,2515,2523,2654,2678,2799
"049 321 Friisilä","Suomi ja saame","Väestö yhteensä",2091,2091,2074,2046,2022,2129,2153,2247
"049 321 Friisilä","Ruotsi","Väestö yhteensä",232,239,240,239,240,249,224,216
"049 321 Friisilä","Muu kieli","Väestö yhteensä",201,199,208,230,261,276,301,336
"049 322 Olarinmäki","Kaikki äidinkielet","Väestö yhteensä",6825,6927,7013,6958,6944,6940,6954,6850
"049 322 Olarinmäki","Suomi ja saame","Väestö yhteensä",5836,5896,5939,5874,5822,5761,5691,5538
"049 322 Olarinmäki","Ruotsi","Väestö yhteensä",627,646,610,593,596,570,574,588
"049 322 Olarinmäki","Muu kieli","Väestö yhteensä",362,385,464,491,526,609,689,724
"049 323 Kuitinmäki","Kaikki äidinkielet","Väestö yhteensä",5971,6111,6207,6207,6612,6585,6601,6446
"049 323 Kuitinmäki","Suomi ja saame","Väestö yhteensä",4638,4642,4642,4631,4887,4797,4685,4569
"049 323 Kuitinmäki","Ruotsi","Väestö yhteensä",375,391,403,411,441,417,403,400
"049 323 Kuitinmäki","Muu kieli","Väestö yhteensä",958,1078,1162,1165,1284,1371,1513,1477
"049 33 Henttaa-Suurpelto","Kaikki äidinkielet","Väestö yhteensä",2495,2677,3116,3842,4047,4771,4970,5647
"049 33 Henttaa-Suurpelto","Suomi ja saame","Väestö yhteensä",2047,2160,2341,2770,2835,3337,3367,3682
"049 33 Henttaa-Suurpelto","Ruotsi","Väestö yhteensä",170,177,176,175,163,164,167,189
"049 33 Henttaa-Suurpelto","Muu kieli","Väestö yhteensä",278,340,599,897,1049,1270,1436,1776
"049 331 Henttaa","Kaikki äidinkielet","Väestö yhteensä",460,484,505,522,508,746,860,1202
"049 331 Henttaa","Suomi ja saame","Väestö yhteensä",400,429,452,465,457,655,730,986
"049 331 Henttaa","Ruotsi","Väestö yhteensä",43,34,32,32,29,31,38,57
"049 331 Henttaa","Muu kieli","Väestö yhteensä",17,21,21,25,22,60,92,159
"049 332 Suurpelto","Kaikki äidinkielet","Väestö yhteensä",2035,2193,2611,3320,3539,4025,4110,4445
