"Vantaan väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"092 75 Päiväkumpu","Suomi ja saame","Väestö yhteensä",3715,3658,3629,3561,3569,3514,3473,3378
"092 75 Päiväkumpu","Ruotsi","Väestö yhteensä",71,70,67,65,71,67,59,58
"092 75 Päiväkumpu","Muu kieli","Väestö yhteensä",279,290,333,409,414,460,441,487
"092 6 Korson suuralue","Kaikki äidinkielet","Väestö yhteensä",29765,29852,29573,29661,29727,29819,30037,30036
"092 6 Korson suuralue","Suomi ja saame","Väestö yhteensä",25612,25497,25195,25039,24780,24508,24473,24111
"092 6 Korson suuralue","Ruotsi","Väestö yhteensä",481,491,469,490,458,459,449,436
"092 6 Korson suuralue","Muu kieli","Väestö yhteensä",3672,3864,3909,4132,4489,4852,5115,5489
"092 80 Matari","Kaikki äidinkielet","Väestö yhteensä",2229,2276,2312,2307,2259,2273,2290,2321
"092 80 Matari","Suomi ja saame","Väestö yhteensä",2102,2129,2139,2124,2051,2025,2004,1994
"092 80 Matari","Ruotsi","Väestö yhteensä",43,41,36,39,34,33,36,36
"092 80 Matari","Muu kieli","Väestö yhteensä",84,106,137,144,174,215,250,291
"092 81 Korso","Kaikki äidinkielet","Väestö yhteensä",7402,7356,7378,7347,7226,7255,7460,7403
"092 81 Korso","Suomi ja saame","Väestö yhteensä",6294,6203,6125,5995,5810,5733,5879,5731
"092 81 Korso","Ruotsi","Väestö yhteensä",104,110,106,107,100,108,111,104
"092 81 Korso","Muu kieli","Väestö yhteensä",1004,1043,1147,1245,1316,1414,1470,1568
"092 82 Mikkola","Kaikki äidinkielet","Väestö yhteensä",3311,3280,2956,3009,3091,3127,3076,3094
"092 82 Mikkola","Suomi ja saame","Väestö yhteensä",2319,2229,2079,2081,2128,2098,2063,2022
"092 82 Mikkola","Ruotsi","Väestö yhteensä",40,38,37,32,34,34,31,32
"092 82 Mikkola","Muu kieli","Väestö yhteensä",952,1013,840,896,929,995,982,1040
"092 83 Metsola","Kaikki äidinkielet","Väestö yhteensä",6277,6322,6291,6260,6262,6197,6210,6111
"092 83 Metsola","Suomi ja saame","Väestö yhteensä",5163,5163,5138,5080,4991,4874,4794,4605
"092 83 Metsola","Ruotsi","Väestö yhteensä",87,82,78,89,87,76,81,73
"092 83 Metsola","Muu kieli","Väestö yhteensä",1027,1077,1075,1091,1184,1247,1335,1433
"092 84 Leppäkorpi","Kaikki äidinkielet","Väestö yhteensä",2445,2461,2502,2512,2498,2472,2459,2480
"092 84 Leppäkorpi","Suomi ja saame","Väestö yhteensä",2307,2314,2339,2325,2305,2267,2241,2256
"092 84 Leppäkorpi","Ruotsi","Väestö yhteensä",30,37,38,36,35,36,27,22
"092 84 Leppäkorpi","Muu kieli","Väestö yhteensä",108,110,125,151,158,169,191,202
"092 85 Jokivarsi","Kaikki äidinkielet","Väestö yhteensä",1315,1338,1332,1350,1346,1342,1346,1356
"092 85 Jokivarsi","Suomi ja saame","Väestö yhteensä",1235,1251,1242,1252,1232,1226,1216,1191
"092 85 Jokivarsi","Ruotsi","Väestö yhteensä",41,42,37,44,37,38,33,38
"092 85 Jokivarsi","Muu kieli","Väestö yhteensä",39,45,53,54,77,78,97,127
"092 86 Nikinmäki","Kaikki äidinkielet","Väestö yhteensä",3594,3637,3644,3742,3880,3972,4051,4216
"092 86 Nikinmäki","Suomi ja saame","Väestö yhteensä",3330,3364,3352,3427,3524,3566,3596,3712
"092 86 Nikinmäki","Ruotsi","Väestö yhteensä",86,88,85,94,88,91,90,94
"092 86 Nikinmäki","Muu kieli","Väestö yhteensä",178,185,207,221,268,315,365,410
"092 87 Vierumäki","Kaikki äidinkielet","Väestö yhteensä",1428,1404,1426,1441,1429,1443,1435,1411
"092 87 Vierumäki","Suomi ja saame","Väestö yhteensä",1297,1283,1284,1290,1264,1247,1235,1208
"092 87 Vierumäki","Ruotsi","Väestö yhteensä",20,22,20,18,17,16,17,15
"092 87 Vierumäki","Muu kieli","Väestö yhteensä",111,99,122,133,148,180,183,188
"092 88 Vallinoja","Kaikki äidinkielet","Väestö yhteensä",1764,1778,1732,1693,1736,1738,1710,1644
"092 88 Vallinoja","Suomi ja saame","Väestö yhteensä",1565,1561,1497,1465,1475,1472,1445,1392
"092 88 Vallinoja","Ruotsi","Väestö yhteensä",30,31,32,31,26,27,23,22
"092 88 Vallinoja","Muu kieli","Väestö yhteensä",169,186,203,197,235,239,242,230
"092 7 Hakunilan suuralue","Kaikki äidinkielet","Väestö yhteensä",29214,29092,29311,29510,29462,29782,30525,30571
"092 7 Hakunilan suuralue","Suomi ja saame","Väestö yhteensä",22541,22096,21803,21504,21209,21064,20977,20497
"092 7 Hakunilan suuralue","Ruotsi","Väestö yhteensä",832,813,794,761,747,723,729,711
"092 7 Hakunilan suuralue","Muu kieli","Väestö yhteensä",5841,6183,6714,7245,7506,7995,8819,9363
"092 90 Länsisalmi","Kaikki äidinkielet","Väestö yhteensä",36,32,34,32,33,34,30,30
"092 90 Länsisalmi","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 90 Länsisalmi","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 90 Länsisalmi","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 91 Länsimäki","Kaikki äidinkielet","Väestö yhteensä",5675,5539,5630,5665,5574,5613,5693,5754
"092 91 Länsimäki","Suomi ja saame","Väestö yhteensä",3765,3622,3567,3463,3310,3222,3154,3028
"092 91 Länsimäki","Ruotsi","Väestö yhteensä",95,97,86,80,79,69,68,62
"092 91 Länsimäki","Muu kieli","Väestö yhteensä",1815,1820,1977,2122,2185,2322,2471,2664
"092 92 Ojanko","Kaikki äidinkielet","Väestö yhteensä",69,70,65,71,75,78,73,75
"092 92 Ojanko","Suomi ja saame","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 92 Ojanko","Ruotsi","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 92 Ojanko","Muu kieli","Väestö yhteensä",..,..,..,..,..,..,..,..
"092 93 Vaarala","Kaikki äidinkielet","Väestö yhteensä",2917,2908,2966,2931,2982,2972,2982,3001
"092 93 Vaarala","Suomi ja saame","Väestö yhteensä",2482,2472,2471,2426,2462,2439,2396,2400
"092 93 Vaarala","Ruotsi","Väestö yhteensä",119,104,107,93,92,97,96,94
"092 93 Vaarala","Muu kieli","Väestö yhteensä",316,332,388,412,428,436,490,507
"092 94 Hakunila","Kaikki äidinkielet","Väestö yhteensä",11238,11253,11309,11318,11258,11489,12099,12132
"092 94 Hakunila","Suomi ja saame","Väestö yhteensä",7976,7744,7505,7285,7102,7108,7195,6967
"092 94 Hakunila","Ruotsi","Väestö yhteensä",230,220,230,211,211,203,208,198
"092 94 Hakunila","Muu kieli","Väestö yhteensä",3032,3289,3574,3822,3945,4178,4696,4967
"092 95 Rajakylä","Kaikki äidinkielet","Väestö yhteensä",3852,3869,3840,4027,4045,4085,4155,4153
"092 95 Rajakylä","Suomi ja saame","Väestö yhteensä",3419,3394,3370,3468,3442,3408,3407,3362
"092 95 Rajakylä","Ruotsi","Väestö yhteensä",99,97,88,91,88,80,81,82
"092 95 Rajakylä","Muu kieli","Väestö yhteensä",334,378,382,468,515,597,667,709
