OID_;Join_Count;TARGET_FID;municipal;district;name;pt_m_tt_2013_5874358;pt_m_t_2013_5874358;pt_m_d_2013_5874358;pt_m_tt_2013_5878088;pt_m_t_2013_5878088;pt_m_d_2013_5878088;pt_m_tt_2013_5911249;pt_m_t_2013_5911249;pt_m_d_2013_5911249;pt_m_tt_2013_5934892;pt_m_t_2013_5934892;pt_m_d_2013_5934892;pt_m_tt_2013_5934906;pt_m_t_2013_5934906;pt_m_d_2013_5934906;pt_m_tt_2013_5952975;pt_m_t_2013_5952975;pt_m_d_2013_5952975;pt_m_tt_2013_5958354;pt_m_t_2013_5958354;pt_m_d_2013_5958354;pt_m_tt_2013_5961860;pt_m_t_2013_5961860;pt_m_d_2013_5961860;pt_m_tt_2013_5961890;pt_m_t_2013_5961890;pt_m_d_2013_5961890;pt_m_tt_2013_5961894;pt_m_t_2013_5961894;pt_m_d_2013_5961894;pt_m_tt_2013_5968821;pt_m_t_2013_5968821;pt_m_d_2013_5968821;pt_m_tt_2013_5975374;pt_m_t_2013_5975374;pt_m_d_2013_5975374;pt_m_tt_2013_5978639;pt_m_t_2013_5978639;pt_m_d_2013_5978639;pt_m_tt_2013_5980222;pt_m_t_2013_5980222;pt_m_d_2013_5980222;pt_m_tt_2013_5980260;pt_m_t_2013_5980260;pt_m_d_2013_5980260;pt_m_tt_2015_5874358;pt_m_t_2015_5874358;pt_m_d_2015_5874358;pt_m_tt_2015_5878088;pt_m_t_2015_5878088;pt_m_d_2015_5878088;pt_m_tt_2015_5911249;pt_m_t_2015_5911249;pt_m_d_2015_5911249;pt_m_tt_2015_5934892;pt_m_t_2015_5934892;pt_m_d_2015_5934892;pt_m_tt_2015_5934906;pt_m_t_2015_5934906;pt_m_d_2015_5934906;pt_m_tt_2015_5952975;pt_m_t_2015_5952975;pt_m_d_2015_5952975;pt_m_tt_2015_5958354;pt_m_t_2015_5958354;pt_m_d_2015_5958354;pt_m_tt_2015_5961860;pt_m_t_2015_5961860;pt_m_d_2015_5961860;pt_m_tt_2015_5961890;pt_m_t_2015_5961890;pt_m_d_2015_5961890;pt_m_tt_2015_5961894;pt_m_t_2015_5961894;pt_m_d_2015_5961894;pt_m_tt_2015_5968821;pt_m_t_2015_5968821;pt_m_d_2015_5968821;pt_m_tt_2015_5975374;pt_m_t_2015_5975374;pt_m_d_2015_5975374;pt_m_tt_2015_5978639;pt_m_t_2015_5978639;pt_m_d_2015_5978639;pt_m_tt_2015_5980222;pt_m_t_2015_5980222;pt_m_d_2015_5980222;pt_m_tt_2015_5980260;pt_m_t_2015_5980260;pt_m_d_2015_5980260;pt_m_tt_2018_5874358;pt_m_t_2018_5874358;pt_m_d_2018_5874358;pt_m_tt_2018_5878088;pt_m_t_2018_5878088;pt_m_d_2018_5878088;pt_m_tt_2018_5911249;pt_m_t_2018_5911249;pt_m_d_2018_5911249;pt_m_tt_2018_5934892;pt_m_t_2018_5934892;pt_m_d_2018_5934892;pt_m_tt_2018_5934906;pt_m_t_2018_5934906;pt_m_d_2018_5934906;pt_m_tt_2018_5952975;pt_m_t_2018_5952975;pt_m_d_2018_5952975;pt_m_tt_2018_5958354;pt_m_t_2018_5958354;pt_m_d_2018_5958354;pt_m_tt_2018_5961860;pt_m_t_2018_5961860;pt_m_d_2018_5961860;pt_m_tt_2018_5961890;pt_m_t_2018_5961890;pt_m_d_2018_5961890;pt_m_tt_2018_5961894;pt_m_t_2018_5961894;pt_m_d_2018_5961894;pt_m_tt_2018_5968821;pt_m_t_2018_5968821;pt_m_d_2018_5968821;pt_m_tt_2018_5975374;pt_m_t_2018_5975374;pt_m_d_2018_5975374;pt_m_tt_2018_5978639;pt_m_t_2018_5978639;pt_m_d_2018_5978639;pt_m_tt_2018_5980222;pt_m_t_2018_5980222;pt_m_d_2018_5980222;pt_m_tt_2018_5980260;pt_m_t_2018_5980260;pt_m_d_2018_5980260;Shape_Length;Shape_Area
112;55;111;091;473;Mellunmäki;55;29;15040;42;35;12126;29;23;7772;54;48;20054;55;50;18231;39;31;12247;21;16;6608;58;49;22056;26;21;10695;24;19;9819;29;24;11882;30;25;13096;38;33;13667;56;50;25380;34;29;14884;51;29;15104;38;30;11418;23;18;7318;54;48;19744;52;45;17395;40;37;12418;21;16;6625;58;50;21914;26;21;10686;24;19;9730;28;23;11794;30;25;13007;38;33;13521;56;50;25019;34;29;14794;50;29;13874;33;28;11426;23;18;7352;53;41;18432;52;42;17296;38;35;12375;19;16;6618;44;41;21321;24;21;10679;22;19;9723;27;24;11787;29;26;13000;37;34;13514;53;49;26864;32;29;14751;6588,459792227452454;2358273,200732652097940
113;66;112;091;474;Kivikko;43;26;9053;32;25;7256;16;12;2458;47;40;14420;44;36;11853;34;29;8361;25;19;6647;59;52;18445;30;24;8539;28;22;8945;33;27;9026;34;28;10772;42;36;11228;60;53;22919;38;32;12698;48;28;10898;29;23;7485;16;12;2459;50;38;13222;41;32;12374;34;28;7762;23;17;6643;59;52;16157;28;23;8546;26;21;9433;30;25;9026;32;27;10803;40;35;11260;58;52;23515;36;31;13115;48;37;9280;25;22;7453;14;12;2457;44;31;13474;41;32;12337;31;29;8798;22;18;6536;47;44;20395;28;24;8100;26;22;9472;31;27;8928;33;29;12749;40;37;11270;56;51;24872;36;32;13826;7941,393728454695520;2768849,558207894675434
114;21;113;091;211;Hermanninmäki;35;27;12101;38;32;12517;24;19;7411;36;29;9956;37;29;6735;16;11;2149;14;11;3684;38;30;11182;5;5;345;5;4;338;11;9;1564;12;11;2778;20;18;3292;38;34;14750;16;14;4565;44;38;12146;36;30;13203;27;20;7429;36;27;10003;36;26;6711;16;12;2149;14;12;3685;38;31;11684;5;5;345;5;5;338;10;9;1564;12;11;2778;19;18;3292;38;37;14756;16;14;4565;44;26;12952;38;31;12365;26;22;7439;35;28;9872;39;29;6628;16;13;2074;13;12;3685;28;26;11098;5;5;345;5;5;338;11;9;1564;14;12;2778;21;19;3292;35;32;16641;16;14;4528;3930,445503841592654;695668,452760107116774
115;18;114;091;475;Kurkimäki;43;34;10956;32;27;9434;18;14;4362;49;42;16189;44;37;15478;36;30;11484;20;16;5690;58;50;20977;26;21;9752;24;19;8795;29;24;10859;30;26;12073;38;33;12587;56;51;24081;34;29;13860;49;34;15919;31;25;9313;18;13;4250;52;39;15125;41;33;14278;36;29;11654;21;16;5690;58;48;20980;26;21;9751;24;19;8795;28;23;10859;30;26;12073;38;33;12587;56;51;24085;34;29;13860;52;42;11027;30;25;9274;20;15;4261;47;35;15341;42;36;14205;36;32;11434;21;17;5677;46;42;20380;26;22;9738;24;20;8783;29;25;10846;32;28;12060;39;35;12574;54;49;25924;34;31;13811;3558,142771106636701;577940,095603786059655
116;9;115;091;480;Vartiosaari;70;60;19745;67;57;24623;56;47;10239;59;51;16391;63;53;13171;43;36;8574;20;15;2506;61;54;18110;35;30;6885;33;28;5929;38;33;7992;39;34;9206;47;41;9721;66;59;21248;43;38;10994;75;66;21247;61;53;20868;54;47;15003;60;50;16619;59;48;13136;43;34;8574;19;15;2506;60;53;18113;31;26;6885;30;24;5929;33;28;7993;36;30;9207;43;37;9721;62;57;21254;39;34;10994;75;60;20214;61;52;20801;54;50;15026;63;54;19958;65;55;16623;42;39;8570;20;15;2506;52;48;17527;32;28;6885;30;26;5930;35;31;7993;38;33;9207;45;41;9721;59;54;23070;40;36;10957;9024,620708269776514;3738417,098370318766683
117;86;116;091;491;Yliskylä;61;52;19212;58;49;23475;47;41;11127;53;45;15242;55;47;12022;35;29;7425;12;9;1358;53;44;16962;26;20;5737;24;19;4781;29;23;6844;30;25;8058;38;32;8573;56;51;20286;34;28;9845;69;61;19859;54;46;23475;45;41;11446;52;44;15231;53;43;11987;34;29;7425;10;8;1357;54;47;16964;22;19;5736;21;17;4780;24;21;6844;27;23;8058;34;30;8572;53;49;20069;30;27;9845;70;57;19170;52;46;23346;45;40;12042;56;48;18810;59;50;15566;33;29;7389;10;9;1357;43;41;16378;23;21;5736;21;19;4781;26;24;6844;28;26;8058;36;33;8572;50;47;21921;31;29;9808;9706,766297232486977;4355867,416691237129271
118;63;117;091;492;Jollas;72;61;21820;70;57;26083;60;50;14128;66;54;17840;68;59;15090;47;36;10034;24;16;3966;62;53;19570;38;30;8345;36;28;7389;41;33;9452;42;34;10666;50;42;11181;69;60;22469;46;38;12454;82;69;21848;62;51;26083;57;49;16462;63;53;18696;59;51;18174;44;37;10033;22;15;3965;63;55;19572;33;26;8344;32;24;7388;35;28;9452;38;30;10666;45;38;11180;64;55;22678;41;34;12453;82;68;21674;67;55;25955;59;48;16487;69;58;21419;73;64;18207;46;37;9998;25;17;3967;57;49;18987;37;29;8346;35;27;7390;40;32;9454;43;34;10667;50;42;11181;65;55;24531;45;37;12418;8927,750491860764669;4174899,277948100585490
119;27;118;091;493;Tullisaari;62;52;17000;58;49;19207;48;44;11657;53;46;14536;55;48;10691;35;30;6105;13;11;1327;53;46;15523;26;22;4576;25;17;2864;29;25;5683;31;27;6897;38;34;6625;57;52;19125;34;30;8685;74;66;19642;57;47;19249;49;42;11446;53;48;14535;55;43;10928;35;30;5809;14;11;1327;56;49;15792;27;22;4564;25;18;2974;29;24;5672;31;27;6886;39;34;7400;57;52;18898;35;30;8673;71;63;17627;55;45;17696;49;45;11462;56;47;13183;59;48;10623;35;28;5385;13;11;1327;46;43;15206;26;23;4564;24;21;3609;29;26;5672;31;29;6886;39;36;7400;54;49;20749;34;30;8636;4949,728488256679157;1119734,589730817358941
120;42;119;091;351;Paloheinä;37;22;5966;45;31;10070;30;22;4663;36;17;7517;32;25;6448;29;21;6131;41;32;11931;50;37;11867;30;22;7711;37;30;8730;34;26;8827;37;32;9908;45;37;10250;62;47;16937;46;35;11938;41;22;5876;39;33;10289;25;19;4761;34;17;7518;34;26;6320;29;22;6144;42;36;11944;46;37;12001;32;24;7724;38;31;8742;35;28;8823;37;31;9903;45;39;10253;62;42;16972;46;36;11939;42;31;6439;35;32;9966;21;17;4793;35;25;7420;35;26;6283;32;23;6144;45;37;11944;53;45;12174;34;25;7724;41;32;8742;38;28;8817;44;35;9966;50;40;10358;67;55;18241;48;36;11911;5788,706315572011590;1701734,729616343509406
121;29;120;091;352;Torpparinmäki;33;25;4954;46;30;9015;34;20;3530;44;34;10308;40;30;8941;30;21;6907;42;32;12255;53;45;16301;31;22;8522;38;30;9505;34;26;9599;39;32;10639;46;37;11030;68;56;21972;46;35;12678;38;26;4324;39;32;9253;25;19;3531;41;32;10382;42;29;7738;31;22;6907;45;36;12706;53;42;13661;33;24;8486;41;31;9504;37;28;9596;42;33;10855;49;39;11027;69;58;22007;46;36;12642;39;25;4740;35;32;8766;21;17;3758;44;32;10382;41;32;8775;33;23;6907;45;37;12706;59;46;13794;35;25;8486;43;32;9504;38;28;9580;44;35;10630;50;40;11022;67;55;24718;48;36;12605;4364,054068572169854;1008647,381414447329007
122;39;121;091;494;Kruunuvuorenranta;77;64;21811;72;60;26074;63;51;14595;67;55;18596;71;62;15476;50;39;10249;27;19;4181;66;56;19561;40;33;8336;38;31;7380;43;36;9443;44;38;10657;52;45;11172;70;63;22885;48;41;12444;87;70;27418;70;59;24448;61;50;15729;68;54;18754;63;52;15511;49;38;10880;28;19;4793;67;56;20400;41;32;9171;39;30;8215;43;34;10279;45;37;11493;53;44;12007;72;61;23302;49;40;13280;81;66;21848;67;53;26129;60;50;14816;68;56;21593;66;56;18349;45;36;10172;25;16;4141;56;47;19162;37;27;8520;35;25;7564;40;30;9628;42;32;10841;49;40;11355;65;53;24705;45;35;12592;7361,303681156689890;3137382,703221169300377
123;26;122;091;495;Hevossalmi;68;60;21479;63;54;25742;55;48;13787;62;50;17499;63;54;14279;44;35;9692;20;15;3625;61;50;19229;33;27;8004;31;25;7048;36;30;9111;37;31;10325;45;38;10840;63;56;22128;41;35;12113;77;68;21832;61;51;25626;53;47;14428;59;52;17750;59;50;17525;41;36;9692;18;14;3625;61;55;19232;31;25;8003;30;23;7048;33;27;9111;36;30;10325;43;37;10839;62;55;22337;39;33;12112;75;64;21674;63;55;25615;54;47;14414;63;57;21078;67;58;17835;43;37;9658;20;16;3626;53;48;18647;33;28;8005;31;26;7049;36;31;9113;39;34;10326;46;41;10841;62;55;24442;42;36;12077;5335,106643620778414;1075074,326669892761856
124;1;123;091;500;Villinki;92;81;24474;94;77;28737;82;74;16781;88;72;20504;92;79;18095;70;55;12687;45;36;6619;84;73;22224;59;50;10999;57;48;10043;62;53;12106;63;55;13320;71;62;13834;91;80;25122;67;58;15107;98;89;30081;85;71;28737;76;69;20178;83;73;24072;79;71;20828;65;58;12687;42;35;6619;83;75;22226;54;46;10998;52;44;10042;56;48;12106;58;51;13320;66;58;13834;85;76;25128;62;54;15107;103;85;24058;90;76;28609;83;69;17256;94;79;23803;98;83;20246;69;55;12382;48;34;6350;81;66;21371;61;46;10729;59;44;9774;64;49;11837;66;51;13051;74;59;13565;89;75;26914;69;54;14801;9997,300192984790556;5382621,598662270233035
125;99;124;091;510;Santahamina;76;62;22514;73;60;26777;61;50;14822;66;54;18544;65;56;15324;49;38;10727;26;18;4660;70;62;20379;41;32;9039;39;30;8083;44;35;10146;45;37;11360;53;44;11875;71;62;23588;49;40;13147;87;73;23162;72;59;26777;62;50;17157;68;54;18534;71;62;18868;48;39;10728;26;18;4660;71;63;20383;41;32;9038;39;30;8083;43;34;10146;45;37;11360;53;44;11874;72;62;23169;49;40;13147;87;69;22813;72;58;26650;65;50;17181;74;60;22114;72;61;18870;51;40;10693;30;20;4661;63;51;19682;43;31;9040;41;29;8085;46;34;10148;48;37;11362;56;44;11876;71;58;25225;51;40;13112;18126,502304486682988;18728070,340634360909462
126;29;125;091;520;Suomenlinna;98;71;19438;85;68;19692;79;59;14579;81;62;14722;83;65;11366;71;51;7258;54;48;5573;84;62;13007;62;41;5768;63;43;6739;60;38;4632;54;35;3927;53;31;3662;86;65;15898;64;43;6052;104;81;19994;84;65;19677;78;56;14567;84;62;14721;81;60;11477;70;48;7246;55;48;7473;85;63;13171;64;41;5767;66;43;6738;63;40;4652;55;35;3926;54;31;3661;88;65;16073;66;43;6052;101;81;19007;80;61;19378;76;56;14419;82;61;14721;86;69;11323;65;50;7246;45;36;5532;77;54;12585;57;41;5767;55;43;6738;60;40;4704;56;35;3926;54;31;3661;86;63;18128;65;43;6015;14801,052565539022908;12041067,726163888350129
127;14;128;091;213;Kyläsaari;40;32;12101;38;34;12517;24;19;7411;40;34;10150;41;33;6930;24;20;2588;22;16;4313;45;34;11375;13;11;1608;11;5;1071;17;11;2707;21;14;4304;28;21;4771;45;34;16182;27;21;5937;51;39;12146;38;31;13203;27;20;7429;41;33;10146;45;36;6860;24;21;2627;22;18;4314;47;41;11840;13;11;1590;12;8;878;17;15;2707;22;20;4014;28;25;4510;49;44;15840;26;23;5818;47;32;13046;39;31;12365;26;22;7439;43;37;10202;44;35;7011;24;21;2343;20;17;4314;37;34;12351;14;12;1590;10;7;878;17;13;2609;23;20;4014;30;27;4510;43;40;18013;25;22;5781;2577,328376024066074;321498,974494076217525
128;40;129;091;353;Tuomarinkartano;24;16;4381;38;28;8226;22;13;2230;43;26;9254;39;30;8489;30;22;6962;42;32;12310;53;46;15128;31;23;8577;38;31;9749;34;27;9653;39;30;10468;46;37;10932;68;56;19059;46;36;12732;34;18;4162;33;27;8224;19;13;2252;43;26;9648;39;29;8361;31;22;7169;44;36;12545;53;42;14120;33;24;8730;41;32;9749;37;28;9840;41;33;10931;48;40;11289;66;50;18708;46;37;12886;30;17;4162;29;25;8116;16;12;2469;43;29;9460;39;30;8324;32;24;7151;42;38;12594;58;48;13712;35;26;8730;43;34;9749;38;30;9824;41;36;10460;49;42;10996;67;56;24981;48;38;12868;5947,270778231631084;1663337,285415186546743
129;134;130;091;354;Haltiala;26;20;2443;42;32;8049;34;17;3225;39;23;7230;38;29;6333;30;26;6612;44;39;12412;54;43;11752;33;28;8192;39;34;9210;36;31;9308;40;35;10389;47;42;10731;67;53;17477;47;41;11488;28;20;2453;37;34;7723;23;19;3421;35;23;7304;38;30;6205;32;26;6626;46;39;12426;48;38;11886;34;27;8205;42;34;9224;38;31;9304;43;35;10384;50;43;10735;67;47;17511;48;39;12421;29;20;2436;35;34;7869;21;17;3453;32;25;7304;38;30;6168;31;24;6626;45;38;12426;52;44;12466;32;26;8205;40;33;9224;36;30;9299;42;36;10180;48;42;10839;67;59;18126;47;41;11412;13497,663191486002688;6298807,623048723675311
130;94;131;091;361;Viikinranta;44;33;13066;32;29;8741;18;14;3635;40;31;11024;37;27;7640;29;20;4151;22;17;2496;51;44;12512;20;16;3801;26;20;3894;24;19;4910;30;25;6034;36;32;6490;55;46;18779;34;28;7957;58;42;10512;33;29;9882;21;17;3653;43;35;11852;40;30;7504;27;17;4146;22;16;2496;49;41;11934;20;17;3538;28;21;4223;24;20;4827;29;26;5962;36;33;6458;57;53;17788;34;29;8206;54;39;10968;27;23;9609;20;18;3663;41;34;11059;40;29;7552;27;22;4554;22;16;2474;47;41;14299;22;17;3538;28;20;3849;26;21;4818;33;27;5962;39;33;6458;54;47;19843;35;29;7730;11484,013106941989463;5351018,193264242261648
131;63;133;091;541;Keski-Vuosaari;57;43;16571;52;48;13418;33;29;8904;56;45;20002;59;54;18713;39;31;12195;20;15;6557;52;44;21150;25;21;10643;23;19;10071;28;24;12134;29;25;13348;37;32;14256;55;49;25458;33;29;15135;68;47;17466;47;37;14233;32;26;9170;56;45;21814;57;50;18844;42;36;12669;20;15;6876;53;45;22165;25;21;10937;23;19;9981;27;23;12045;29;25;13258;37;32;13772;57;51;25270;33;29;15046;67;45;16227;43;36;14217;33;26;9205;57;50;19953;57;49;18817;39;33;12626;18;15;7020;43;41;21723;24;21;11081;22;19;10126;27;24;12189;29;26;13403;36;33;13917;49;46;27267;31;28;15154;8399,675303957728829;2570038,339405371807516
132;34;134;091;542;Nordsjön kartano;67;57;19424;60;55;16959;47;40;11645;63;51;25407;67;61;19829;49;38;14066;28;22;8272;59;51;23559;33;27;12334;31;25;11377;36;30;13441;37;32;14655;45;39;15169;63;56;26883;41;35;16442;75;59;19031;58;55;15850;44;39;10735;63;52;21814;68;57;20709;50;44;14066;28;22;8272;60;52;23562;33;28;12333;31;26;11378;35;30;13441;37;32;14655;45;40;15169;64;58;26464;41;36;16442;74;57;17792;53;48;15782;43;38;10770;63;58;21850;63;54;20713;46;41;14017;26;22;8259;51;48;22962;31;28;12320;29;26;11365;34;31;13428;36;33;14642;44;41;15156;56;53;28506;38;35;16393;5314,115471363140387;1271759,395455422811210
133;36;135;091;543;Uutela;74;61;22017;72;61;17577;53;48;13947;74;63;26209;79;68;19842;60;49;14867;40;29;9074;72;62;24360;45;34;13135;43;32;12179;48;37;14242;49;39;15456;57;46;15971;75;64;27684;53;42;17244;90;71;20613;71;62;18543;55;46;13429;74;63;26208;77;68;22965;62;55;14868;40;33;9074;73;63;24363;45;38;13135;43;36;12179;47;40;14243;49;42;15456;57;50;15971;76;68;27468;53;46;17244;82;66;20132;63;57;18122;53;47;13110;75;68;26196;75;66;22952;59;52;14818;38;32;9061;63;57;23764;43;37;13122;41;35;12166;46;40;14230;48;42;15444;56;50;15958;69;62;29307;50;44;17194;8442,187355375666812;4108360,380206689238548
134;22;136;091;364;Viikinmäki;49;37;11364;35;31;8275;22;17;3765;42;35;11177;42;31;7922;29;24;4554;34;26;6644;51;46;12469;25;19;4715;30;23;4809;29;23;5748;34;29;6965;40;35;7422;59;50;19207;38;32;8871;59;46;10512;31;29;9132;23;18;3039;40;33;11520;42;35;7902;27;22;4554;32;25;6793;53;44;12221;26;21;4714;33;25;5233;30;23;5730;36;30;6984;43;37;7424;63;57;18909;41;34;8870;55;41;10236;29;26;8780;23;17;3826;43;36;11193;42;33;7839;27;23;4554;31;25;6410;51;45;15389;27;21;4700;32;24;4587;30;24;5794;36;31;7190;43;37;7334;57;51;20932;39;32;8819;3877,502833270936208;634897,024231563322246
135;49;137;091;544;Meri-Rastila;58;50;16581;52;47;15234;41;32;9987;56;44;23734;59;54;18645;39;31;12393;20;15;6599;52;43;21885;25;20;10660;23;18;9704;28;23;11767;29;24;12981;37;32;13496;55;49;25209;33;28;14769;70;56;21523;55;47;15382;42;34;10356;56;44;23734;57;50;20336;42;36;12393;20;15;6566;53;44;21889;25;20;10627;23;18;9671;27;22;11735;29;24;12949;37;32;13463;57;50;24791;33;28;14736;69;55;16902;47;44;17957;38;33;8368;58;52;23721;58;50;20477;40;34;12343;19;16;6586;44;41;21289;24;21;10647;22;19;9692;27;24;11755;30;26;12969;37;34;13483;50;47;26832;32;28;14720;8087,064282451829968;3644003,949271675664932
136;50;138;091;545;Kallahti;57;50;18243;52;48;16991;40;38;11534;56;45;22177;59;54;18613;39;31;12923;20;15;7130;52;44;22416;25;21;11191;23;19;10235;28;24;12298;29;25;13512;37;32;14027;55;49;25789;33;29;15300;68;52;19861;50;42;16628;36;31;11565;56;45;24264;57;50;21020;42;36;12923;20;15;7130;53;45;22419;25;21;11191;23;19;10235;27;23;12299;29;25;13512;37;32;14026;57;51;25321;33;29;15300;68;50;18622;44;41;16612;35;31;11600;57;52;24251;57;49;21008;39;33;12874;18;15;7117;43;41;21820;24;21;11178;22;19;10222;27;24;12286;29;26;13499;36;33;14014;49;46;27363;31;28;15250;15138,752418579802907;12000294,499442920088768
137;26;139;091;546;Aurinkolahti;57;50;18740;52;48;17210;40;38;12214;56;45;24910;59;54;19596;39;31;13568;20;15;7774;52;44;23061;25;21;11836;23;19;10880;28;24;12943;29;25;14157;37;32;14672;55;49;26363;33;29;15944;68;52;20110;50;42;16876;36;31;11813;56;45;24909;57;50;21665;42;36;13568;20;15;7774;53;45;23064;25;21;11836;23;19;10880;27;23;12944;29;25;14157;37;32;14671;57;51;25966;33;29;15944;68;50;18871;44;41;16860;35;31;11848;57;52;24896;57;49;21652;39;33;13519;18;15;7762;43;41;22464;24;21;11822;22;19;10867;27;24;12930;29;26;14144;36;33;14658;49;46;28008;31;28;15895;4006,615663977914664;1029755,308776938240044
138;31;140;091;547;Rastila;58;48;17564;52;46;14023;41;31;8870;56;42;20002;59;52;20043;39;29;12162;20;13;6501;52;42;21697;25;19;10563;23;17;9607;28;21;11670;29;23;12884;37;30;13398;55;47;25112;33;26;14671;70;51;19062;51;40;15705;35;29;10419;56;43;23545;57;48;18842;42;34;12295;20;13;6501;53;43;21700;25;19;10562;23;17;9606;27;21;11670;29;23;12884;37;30;13398;57;49;24602;33;26;14671;68;49;16804;44;39;16005;34;30;10394;57;51;19953;57;48;18817;39;32;12245;18;14;6488;43;39;21191;24;20;10549;22;18;9594;27;23;11657;29;25;12871;36;32;13385;49;45;26734;31;27;14622;4760,177853834653433;1216340,488023899262771
139;50;141;091;370;Pukinmäki;36;26;6436;20;15;5940;10;6;684;28;24;10203;28;24;9057;16;12;5944;36;31;7159;46;38;14219;29;24;6420;33;29;6513;30;26;7529;22;19;8671;29;25;9127;54;48;19437;33;29;10575;46;32;5904;19;15;5886;10;6;684;33;25;10026;32;23;7439;17;12;5630;34;30;7306;46;38;13362;33;26;6432;35;30;6764;35;28;7542;26;21;8685;33;29;9142;58;51;19231;36;31;10588;42;29;5904;16;11;5786;10;6;684;32;24;10278;35;29;7692;17;12;5630;35;29;9640;47;38;13177;33;27;6420;35;28;6691;34;29;7513;26;21;8842;33;29;9054;55;48;19006;35;30;10762;6299,926787464202789;2010167,517741539981216
140;27;142;091;381;Ylä-Malmi;35;22;6099;16;11;5287;0;0;0;31;24;12730;34;26;10881;18;13;7065;36;28;10394;48;39;15152;31;24;9027;35;26;8909;32;26;9953;24;19;10304;31;26;10768;56;49;22864;35;30;12173;41;30;6028;14;10;5234;0;0;0;32;22;12475;34;24;9195;16;12;7375;34;29;10169;48;42;15118;32;27;9063;34;31;9024;34;28;9989;25;21;10586;32;29;11122;57;53;22342;35;31;12504;38;26;5912;11;8;5133;0;0;0;32;25;12442;38;27;10730;16;13;7321;35;30;10405;46;42;14934;31;26;9063;36;31;8950;33;28;9891;25;22;10532;33;30;11069;54;49;24526;34;31;12414;4126,344972933325153;929932,117144745774567
141;81;143;091;382;Ala-Malmi;35;23;6920;16;11;4144;0;0;0;28;24;11915;28;24;10066;16;12;6411;29;24;6460;46;38;14219;22;20;6700;28;22;6580;26;22;7525;22;19;9556;29;25;10006;54;45;21115;33;29;10856;41;30;6860;14;10;4142;0;0;0;32;22;12254;32;23;9195;16;12;6393;30;24;6623;46;40;14521;24;20;6666;31;24;6672;28;23;7776;25;21;8816;32;29;9207;57;51;21222;35;31;10822;38;29;6736;11;8;4040;0;0;0;32;24;12211;35;27;10106;16;12;6393;28;23;6227;46;41;14337;24;21;6666;30;24;6585;27;23;7773;25;21;8811;33;29;9202;54;48;22898;34;30;10785;10180,266147946942510;3334925,976310382597148
142;100;144;091;548;Niinisaari;72;55;18243;68;60;13682;47;42;10535;71;56;25375;74;61;19625;55;43;15039;36;27;9328;70;62;24614;41;33;13389;39;31;12433;44;36;14496;45;37;15710;53;44;16225;71;62;27938;49;41;17498;78;57;18797;59;53;15616;43;37;10501;74;63;21545;73;62;20475;59;53;15492;42;37;9699;74;67;24617;47;43;13760;45;41;12804;49;45;14868;51;47;16082;59;54;16596;78;71;27722;55;51;17869;76;55;17558;53;46;15329;43;36;10536;76;60;21616;73;61;20479;60;53;15443;41;36;9686;66;61;24389;46;41;13747;44;39;12791;49;44;14855;51;46;16068;59;54;16583;71;66;29640;53;48;17819;14799,873799174300075;7309674,761088040657341
143;43;145;091;549;Mustavuori;63;43;16418;56;50;12892;33;29;9278;63;55;22038;66;54;19386;49;37;13571;34;22;7772;70;59;22062;39;31;11859;38;29;11143;42;34;13206;44;36;15673;51;43;16124;69;61;26834;47;39;16207;68;47;16427;47;37;13895;32;26;8832;65;54;21305;62;52;19198;49;43;15105;33;26;7901;71;55;23190;38;31;11962;37;29;11006;40;33;13070;43;36;14284;50;43;14798;69;60;26295;46;39;16071;67;45;15241;43;36;13879;33;26;8866;64;50;20285;62;51;18794;50;43;15055;34;28;9298;59;53;24001;39;33;13359;37;32;12404;42;36;14467;44;39;15681;52;46;16195;66;59;28302;47;41;17431;6505,637492314344854;1428189,573087533470243
144;173;146;091;550;Östersundom;69;51;16128;54;35;9491;44;34;12681;66;57;23779;67;55;21210;45;36;15973;31;20;10334;68;58;26259;38;29;14420;40;29;13550;44;34;15613;45;35;16827;52;43;17342;68;60;29236;49;39;18615;63;34;14412;57;36;10726;47;33;11625;71;61;24410;63;52;22659;54;46;16149;35;24;10356;68;53;25645;40;29;14416;38;27;13461;42;31;15524;44;33;16738;52;41;17252;70;57;28750;48;37;18525;62;34;14342;52;32;10723;47;35;11659;68;51;23736;64;52;22600;57;45;16106;39;27;10348;64;52;25051;44;32;14410;42;30;13454;47;35;15518;49;37;16731;57;45;17245;70;57;30595;51;39;18482;19118,150135331517959;7830611,471544152125716
145;90;147;091;560;Salmenkallio;69;50;16216;59;50;12915;43;32;9697;65;54;23246;66;54;19625;44;32;14727;29;19;9088;67;57;25013;37;27;13174;39;27;12304;43;32;14367;44;34;15581;51;42;17279;67;57;27990;48;37;17369;75;54;16059;59;43;12593;43;31;9811;71;59;21545;63;51;21413;54;45;14903;35;23;9109;68;53;24399;40;28;13170;38;26;12215;42;30;14278;44;33;15492;52;40;16006;70;57;27504;48;36;17279;65;39;15039;52;38;12126;43;33;9846;67;49;20926;63;50;19789;57;43;14860;39;25;9102;64;50;23805;44;30;13163;42;28;12208;47;33;14272;49;36;15485;57;43;15999;70;56;29349;51;38;17236;9535,674208349355467;4133075,434565511066467
