municipal,district,name_population,Year,all,finnish_sami,other,swedish,5874358,5878088,5911249,5934892,5934906,5952975,5958354,5961860,5961890,5961894,5968821,5975374,5978639,5980222,5980260,name_district
49,242,Taavinkylä,2013,3377.0,2802.0,298.0,277.0,26,45,41,10,30,29,43,24,37,39,36,26,34,22,25,Taavinkylä
49,242,Taavinkylä,2014,3401.0,2809.0,330.0,262.0,,,,,,,,,,,,,,,,
49,242,Taavinkylä,2015,3438.0,2839.0,323.0,276.0,25,44,42,10,24,29,45,21,38,40,37,30,36,21,25,Taavinkylä
49,242,Taavinkylä,2016,3455.0,2842.0,337.0,276.0,,,,,,,,,,,,,,,,
49,242,Taavinkylä,2017,3503.0,2846.0,388.0,269.0,,,,,,,,,,,,,,,,
49,242,Taavinkylä,2018,3562.0,2886.0,414.0,262.0,62,45,44,16,30,31,42,26,35,37,33,26,33,23,33,Taavinkylä
49,242,Taavinkylä,2019,3751.0,2997.0,481.0,273.0,,,,,,,,,,,,,,,,
49,242,Taavinkylä,2020,3721.0,2956.0,499.0,266.0,,,,,,,,,,,,,,,,
49,251,Ruukinranta,2013,216.0,188.0,12.0,16.0,31,39,38,9,23,26,40,10,34,37,32,23,32,32,30,Ruukinranta
49,251,Ruukinranta,2014,205.0,176.0,14.0,15.0,,,,,,,,,,,,,,,,
49,251,Ruukinranta,2015,208.0,171.0,22.0,15.0,31,40,38,8,20,25,41,11,34,37,33,26,33,27,31,Ruukinranta
49,251,Ruukinranta,2016,206.0,165.0,25.0,16.0,,,,,,,,,,,,,,,,
49,251,Ruukinranta,2017,207.0,171.0,21.0,15.0,,,,,,,,,,,,,,,,
49,251,Ruukinranta,2018,201.0,165.0,21.0,15.0,57,41,36,8,23,26,42,15,35,38,35,29,37,28,28,Ruukinranta
49,251,Ruukinranta,2019,191.0,157.0,19.0,15.0,,,,,,,,,,,,,,,,
49,251,Ruukinranta,2020,178.0,147.0,15.0,16.0,,,,,,,,,,,,,,,,
49,252,Pohjois-Laajalahti,2013,3421.0,2875.0,411.0,135.0,31,39,38,9,23,26,40,10,34,37,32,23,32,25,23,Pohjois-Laajalahti
49,252,Pohjois-Laajalahti,2014,3437.0,2853.0,456.0,128.0,,,,,,,,,,,,,,,,
49,252,Pohjois-Laajalahti,2015,3412.0,2817.0,460.0,135.0,31,40,38,8,20,25,41,10,34,37,33,26,33,24,24,Pohjois-Laajalahti
49,252,Pohjois-Laajalahti,2016,3440.0,2781.0,521.0,138.0,,,,,,,,,,,,,,,,
49,252,Pohjois-Laajalahti,2017,3404.0,2728.0,531.0,145.0,,,,,,,,,,,,,,,,
49,252,Pohjois-Laajalahti,2018,3431.0,2695.0,600.0,136.0,57,41,36,8,23,26,42,15,35,38,35,29,36,23,28,Pohjois-Laajalahti
49,252,Pohjois-Laajalahti,2019,3368.0,2624.0,618.0,126.0,,,,,,,,,,,,,,,,
49,252,Pohjois-Laajalahti,2020,3372.0,2589.0,660.0,123.0,,,,,,,,,,,,,,,,
49,311,Matinmetsä,2013,4558.0,3212.0,942.0,404.0,57,52,46,36,48,39,36,26,29,31,28,25,31,0,17,Matinmetsä
49,311,Matinmetsä,2014,4730.0,3224.0,1092.0,414.0,,,,,,,,,,,,,,,,
49,311,Matinmetsä,2015,4689.0,3147.0,1139.0,403.0,57,51,49,34,46,42,39,25,33,35,32,26,33,0,19,Matinmetsä
49,311,Matinmetsä,2016,4699.0,3105.0,1208.0,386.0,,,,,,,,,,,,,,,,
