from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5949312;5934906;235;16423;64;51;18397;28;19262
5949313;5934906;229;16021;58;46;17994;29;19103
5949314;5934906;227;15914;64;49;18554;30;18923
5949315;5934906;229;16017;64;51;18657;30;18682
5949316;5934906;219;15347;70;63;14789;30;18838
5949317;5934906;216;15089;68;59;14531;26;18372
5949318;5934906;216;15128;63;57;14367;27;18843
5949319;5934906;209;14640;57;48;14335;26;18447
5949320;5934906;206;14410;57;45;14105;25;18269
5949321;5934906;203;14209;57;44;14012;26;18422
5949322;5934906;198;13836;53;46;16127;26;16235
5949323;5934906;195;13626;53;45;16055;25;15904
5949324;5934906;190;13297;54;44;16138;25;15757
5949325;5934906;187;13098;54;46;16118;24;15596
5949326;5934906;183;12790;54;45;12201;22;15169
5949327;5934906;178;12481;53;49;17644;23;15116
5949328;5934906;176;12314;56;48;11439;22;15118
5949329;5934906;180;12623;60;52;12677;22;15336
5949330;5934906;171;11957;54;46;11302;31;16030
5949331;5934906;163;11408;54;45;11245;22;15130
5949332;5934906;159;11137;53;46;11305;24;14938
5949333;5934906;167;11694;62;57;19278;18;12654
5949334;5934906;169;11821;65;59;19405;18;12389
5949335;5934906;153;10701;60;52;11745;25;12794
5949336;5934906;148;10354;70;63;12085;17;11856
5949337;5934906;145;10118;66;58;11849;19;12038
5949338;5934906;141;9851;65;56;11581;19;11792
5949339;5934906;141;9884;65;57;11614;21;11937
5949340;5934906;131;9195;56;45;10926;18;11060
5949341;5934906;128;8965;53;43;10696;17;10756
5949342;5934906;129;9003;53;42;10721;18;11029
5949343;5934906;124;8710;48;38;8575;18;10533
5949344;5934906;120;8410;45;37;8482;18;10588
5949345;5934906;119;8341;49;39;8669;18;10879
5949346;5934906;112;7860;50;42;9266;19;11376
5949347;5934906;108;7535;55;39;8456;21;11337
5949348;5934906;104;7247;51;37;8898;19;9417
5949349;5934906;100;6971;49;37;8895;19;9394
5949350;5934906;96;6712;46;38;8055;16;8892
5949351;5934906;93;6485;40;35;7338;21;9215
5949352;5934906;89;6251;37;35;7298;21;8395
5949353;5934906;86;6012;36;27;6789;15;8130
5949354;5934906;83;5789;36;28;6818;16;8244
5949355;5934906;77;5423;31;26;6537;16;7579
5949356;5934906;78;5456;36;28;6835;18;8077
5949357;5934906;76;5350;37;32;6530;19;8033
5949358;5934906;71;4939;39;36;6761;18;8018
5949359;5934906;69;4808;40;35;7202;17;6552
5949363;5934906;56;3929;52;36;6161;20;7010
5949364;5934906;51;3574;47;38;6270;18;5538
5949365;5934906;48;3356;43;33;5429;18;5207
5949366;5934906;43;3027;39;32;5355;17;5247
5949367;5934906;40;2827;36;33;4049;10;3463
5949368;5934906;40;2774;34;28;3465;11;3371
5949369;5934906;36;2493;30;24;3183;11;3065
5949370;5934906;37;2597;28;21;2687;11;3064
5949371;5934906;33;2288;22;16;2349;13;2929
5949372;5934906;34;2399;27;24;2879;15;3253
5949373;5934906;35;2419;24;20;3334;15;2882
5949374;5934906;36;2544;19;16;3035;13;3268
5949375;5934906;39;2719;18;14;2863;12;3137
5949376;5934906;44;3094;22;19;3238;13;3416
5949377;5934906;45;3134;27;20;3421;14;3736
5949378;5934906;48;3340;29;22;4274;15;4032
5949379;5934906;52;3632;28;21;4212;14;4368
5949380;5934906;56;3940;28;22;4284;14;4531
5949381;5934906;58;4074;27;19;5056;14;4723
5949382;5934906;65;4528;27;17;4961;24;5788
5949383;5934906;66;4630;32;22;5286;14;4837
